time,rate
0.5,30.219962338962297
1.5,30.664737184979217
2.5,31.116058189506553
3.5,31.574021698350787
4.5,32.0387254753278
5.5,32.51026872313309
6.5,32.988752104518966
7.5,33.47427776378362
8.5,33.96694934857641
9.5,34.46687203202394
10.5,34.974152535182085
11.5,35.48889914981809
12.5,36.011221761528276
13.5,36.54123187319592
14.5,37.07904262879423
15.5,37.624768837539825
16.5,38.17852699840172
17.5,38.740435324970804
18.5,39.310613770695646
19.5,39.889184054489476
20.5,40.47626968671417
21.5,41.0719959955467
22.5,41.67649015373347
23.5,42.28988120573865
24.5,42.91230009529186
25.5,43.54387969334144
26.5,44.18475482641915
27.5,44.83506230542214
28.5,45.494940954818844
29.5,46.1645316422844
30.5,46.84397730877246
31.5,47.533422999029575
32.5,48.23301589255855
33.5,48.942905335037615
34.5,49.66324287020213
35.5,50.39418227219525
36.5,51.135879578394935
37.5,51.88849312272413
38.5,52.65218356945094
39.5,53.427113947486674
40.5,54.21344968518828
41.5,55.01135864567325
42.5,55.82101116265424
43.5,56.64258007680101
44.5,57.4762407726378
45.5,58.32217121598328
46.5,59.18055199194202
47.5,60.05156634345478
48.5,60.93540021041661
49.5,61.83224226936998
50.5,62.742283973782804
51.5,63.665719594918926
52.5,64.6027462633102
53.5,65.55356401083885
54.5,66.51837581343963
55.5,67.49738763442971
56.5,68.49080846847697
57.5,69.49885038621512
58.5,70.52172857951541
59.5,71.55966140742505
60.5,72.612870442781
61.5,73.6815805195105
62.5,74.76601978062757
63.5,75.86641972693569
64.5,76.98301526644755
65.5,78.11604476453226
66.5,79.26575009480005
67.5,80.4323766907365
68.5,81.6161735980964
69.5,82.81739352806905
70.5,84.03629291122544
71.5,85.27313195226006
72.5,86.52817468553802
73.5,87.80168903145986
74.5,89.09394685365592
75.5,90.40522401702229
76.5,91.73580044661152
77.5,93.0859601873891
78.5,94.45599146487038
79.5,95.8461867466493
80.5,97.25684280483334
81.5,98.68826077939651
82.5,100.1407462424655
83.5,101.61460926355167
84.5,103.11016447574322
85.5,104.62773114287134
86.5,106.16763322766559
87.5,107.73019946091122
88.5,109.31576341162544
89.5,110.92466355826592
90.5,112.55724336098787
91.5,114.21385133496369
92.5,115.89484112478266
93.5,117.60057157994517
94.5,119.33140683146817
95.5,121.08771636961797
96.5,122.86987512278762
97.5,124.6782635375342
98.5,126.51326765979512
99.5,128.37527921729915
100.5,130.2646957031905
101.5,132.18192046088419
102.5,134.12736277016904
103.5,136.10143793457934
104.5,138.10456737005148
105.5,140.1371786948861
106.5,142.19970582103346
107.5,144.29258904672363
108.5,146.41627515045838
109.5,148.57121748638764
110.5,150.7578760810893
111.5,152.9767177317738
112.5,155.22821610593297
113.5,157.51285184245688
114.5,159.83111265423796
115.5,162.1834934322858
116.5,164.5704963513738
117.5,166.99263097724116
118.5,169.4504143753728
119.5,171.94437122137924
120.5,174.47503391300236
121.5,177.0429426837687
122.5,179.64864571831663
123.5,182.29269926941905
124.5,184.97566777673026
125.5,187.6981239872796
126.5,190.4606490777386
127.5,193.2638327784877
128.5,196.10827349950966
129.5,198.9945784581341
130.5,201.9233638086639
131.5,204.89525477390956
132.5,207.9108857786565
133.5,210.97090058510187
134.5,214.07595243027947
135.5,217.22670416551063
136.5,220.4238283979063
137.5,223.6680076339519
138.5,226.95993442520532
139.5,230.30031151614017
140.5,233.68985199416318
141.5,237.129279441841
142.5,240.61932809136798
143.5,244.16074298130496
144.5,247.7542801156275
145.5,251.40070662511363
146.5,255.10080093110713
147.5,258.8553529116913
148.5,262.66516407030804
149.5,266.5310477068589
150.5,270.453829091325
151.5,274.43434563994055
152.5,278.4734470939615
153.5,282.57199570106326
154.5,286.73086639940954
155.5,290.95094700442985
156.5,295.23313839834606
157.5,299.5783547224882
158.5,303.98752357244103
159.5,308.4615861960623
160.5,313.00149769441674
161.5,317.60822722566485
162.5,322.2827582119552
163.5,327.0260885493598
164.5,331.83923082090166
165.5,336.7232125127138
166.5,341.6790762333835
167.5,346.70787993652306
168.5,351.81069714661623
169.5,356.9886171881893
170.5,362.2427454183546
171.5,367.5742034627766
172.5,372.98412945511217
173.5,378.4736782799716
174.5,384.0440218194605
175.5,389.696349203345
176.5,395.43186706290265
177.5,401.2517997885081
178.5,407.15738979100973
179.5,413.14989776695353
180.5,419.2306029677105
181.5,425.40080347256463
182.5,431.6618164658219
183.5,438.014978517994
184.5,444.4616458711255
185.5,451.0031947283154
186.5,457.64102154750395
187.5,464.37654333958085
188.5,471.21119797088204
189.5,478.14644447013865
190.5,485.18376333994235
191.5,492.32465687279847
192.5,499.5706494718231
193.5,506.9232879761714
194.5,514.3841419912438
195.5,521.9548042237622
196.5,529.6368908217693
197.5,537.4320417196386
198.5,545.3419209881588
199.5,553.3682171897714
200.5,561.5126437390368
201.5,569.776939268406
202.5,578.1628679993744
203.5,586.6722201191018
204.5,595.3068121625686
205.5,604.0684874003654
206.5,612.9591162321816
207.5,621.9805965860915
208.5,631.1348543237137
209.5,640.4238436513353
210.5,649.849547537086
211.5,659.4139781342521
212.5,669.1191772108216
213.5,678.9672165853517
214.5,688.9601985692487
215.5,699.1002564155602
216.5,709.389554774371
217.5,719.8302901549044
218.5,730.4246913944186
219.5,741.1750201340101
220.5,752.0835713014177
221.5,763.1526736009323
222.5,774.3846900105173
223.5,785.7820182862449
224.5,797.34709147416
225.5,809.0823784296707
226.5,820.9903843445923
227.5,833.0736512819391
228.5,845.3347587185942
229.5,857.7763240959631
230.5,870.401003378732
231.5,883.2114916218504
232.5,896.2105235458586
233.5,909.4008741206808
234.5,922.7853591580166
235.5,936.3668359124398
236.5,950.1482036913595
237.5,964.1324044739398
238.5,978.3224235391508
239.5,992.7212901030421
240.5,992.7212901030421
241.5,978.3224235391508
242.5,964.1324044739398
243.5,950.1482036913595
244.5,936.3668359124406
245.5,922.7853591580166
246.5,909.4008741206808
247.5,896.2105235458578
248.5,883.2114916218504
249.5,870.401003378732
250.5,857.7763240959631
251.5,845.3347587185942
252.5,833.0736512819391
253.5,820.990384344593
254.5,809.0823784296714
255.5,797.34709147416
256.5,785.7820182862449
257.5,774.3846900105166
258.5,763.1526736009323
259.5,752.0835713014177
260.5,741.1750201340101
261.5,730.4246913944186
262.5,719.8302901549044
263.5,709.389554774371
264.5,699.1002564155602
265.5,688.9601985692487
266.5,678.9672165853517
267.5,669.1191772108216
268.5,659.4139781342516
269.5,649.849547537086
270.5,640.4238436513353
271.5,631.1348543237137
272.5,621.9805965860915
273.5,612.9591162321816
274.5,604.0684874003659
275.5,595.3068121625691
276.5,586.6722201191018
277.5,578.1628679993744
278.5,569.7769392684054
279.5,561.5126437390368
280.5,553.3682171897714
281.5,545.3419209881588
282.5,537.4320417196386
283.5,529.6368908217693
284.5,521.9548042237622
285.5,514.3841419912443
286.5,506.9232879761714
287.5,499.5706494718231
288.5,492.324656872798
289.5,485.18376333994235
290.5,478.14644447013865
291.5,471.21119797088204
292.5,464.37654333958085
293.5,457.64102154750395
294.5,451.0031947283154
295.5,444.4616458711255
296.5,438.0149785179944
297.5,431.6618164658219
298.5,425.40080347256463
299.5,419.2306029677101
300.5,413.14989776695353
301.5,407.15738979100973
302.5,401.2517997885081
303.5,395.43186706290265
304.5,389.696349203345
305.5,384.0440218194605
306.5,378.4736782799716
307.5,372.98412945511217
308.5,367.5742034627766
309.5,362.24274541835433
310.5,356.988617188189
311.5,351.81069714661623
312.5,346.70787993652306
313.5,341.6790762333835
314.5,336.7232125127138
315.5,331.83923082090166
316.5,327.0260885493598
317.5,322.2827582119549
318.5,317.60822722566485
319.5,313.00149769441674
320.5,308.4615861960623
321.5,303.98752357244103
322.5,299.5783547224882
323.5,295.23313839834606
324.5,290.95094700442985
325.5,286.73086639940954
326.5,282.57199570106326
327.5,278.4734470939618
328.5,274.4343456399408
329.5,270.453829091325
330.5,266.5310477068589
331.5,262.66516407030804
332.5,258.8553529116913
333.5,255.10080093110713
334.5,251.40070662511363
335.5,247.7542801156275
336.5,244.16074298130496
337.5,240.61932809136798
338.5,237.12927944184122
339.5,233.68985199416318
340.5,230.30031151614017
341.5,226.95993442520532
342.5,223.6680076339519
343.5,220.4238283979063
344.5,217.22670416551063
345.5,214.07595243027947
346.5,210.97090058510187
347.5,207.9108857786565
348.5,204.89525477390936
349.5,201.9233638086641
350.5,198.9945784581341
351.5,196.10827349950966
352.5,193.2638327784877
353.5,190.4606490777386
354.5,187.6981239872796
355.5,184.97566777673026
356.5,182.29269926941905
357.5,179.64864571831663
358.5,177.0429426837687
359.5,174.47503391300236
360.5,171.94437122137924
361.5,169.4504143753728
362.5,166.99263097724116
363.5,164.5704963513738
364.5,162.1834934322858
365.5,159.83111265423796
366.5,157.51285184245688
367.5,155.22821610593297
368.5,152.9767177317738
369.5,150.75787608108942
370.5,148.57121748638764
371.5,146.41627515045838
372.5,144.29258904672363
373.5,142.19970582103346
374.5,140.1371786948861
375.5,138.10456737005148
376.5,136.10143793457934
377.5,134.12736277016904
378.5,132.18192046088419
379.5,130.2646957031905
380.5,128.37527921729904
381.5,126.51326765979512
382.5,124.6782635375342
383.5,122.86987512278772
384.5,121.08771636961806
385.5,119.33140683146817
386.5,117.60057157994517
387.5,115.89484112478266
388.5,114.21385133496369
389.5,112.55724336098787
390.5,110.92466355826592
391.5,109.31576341162544
392.5,107.73019946091122
393.5,106.16763322766568
394.5,104.62773114287134
395.5,103.11016447574322
396.5,101.61460926355167
397.5,100.1407462424655
398.5,98.68826077939651
399.5,97.25684280483334
400.5,95.8461867466493
401.5,94.4559914648703
402.5,93.08596018738902
403.5,91.73580044661152
404.5,90.40522401702229
405.5,89.09394685365592
406.5,87.80168903145986
407.5,86.52817468553802
408.5,85.27313195226006
409.5,84.03629291122544
410.5,82.81739352806905
411.5,81.6161735980964
412.5,80.43237669073643
413.5,79.26575009480005
414.5,78.11604476453226
415.5,76.98301526644762
416.5,75.86641972693569
417.5,74.76601978062757
418.5,73.6815805195105
419.5,72.612870442781
420.5,71.55966140742505
421.5,70.52172857951541
422.5,69.49885038621505
423.5,68.49080846847697
424.5,67.49738763442971
425.5,66.51837581343963
426.5,65.55356401083891
427.5,64.6027462633102
428.5,63.665719594918926
429.5,62.742283973782804
430.5,61.83224226936998
431.5,60.93540021041661
432.5,60.05156634345478
433.5,59.18055199194196
434.5,58.32217121598328
435.5,57.4762407726378
436.5,56.64258007680106
437.5,55.82101116265424
438.5,55.01135864567325
439.5,54.21344968518825
440.5,53.427113947486674
441.5,52.65218356945094
442.5,51.88849312272413
443.5,51.135879578394935
444.5,50.39418227219525
445.5,49.66324287020213
446.5,48.942905335037615
447.5,48.23301589255853
448.5,47.533422999029575
449.5,46.84397730877246
450.5,46.1645316422844
451.5,45.494940954818844
452.5,44.83506230542216
453.5,44.18475482641915
454.5,43.54387969334144
455.5,42.91230009529184
456.5,42.28988120573865
457.5,41.67649015373347
458.5,41.0719959955467
459.5,40.47626968671417
460.5,39.889184054489476
461.5,39.310613770695646
462.5,38.740435324970804
463.5,38.17852699840172
464.5,37.624768837539825
465.5,37.07904262879423
466.5,36.54123187319592
467.5,36.01122176152829
468.5,35.48889914981809
469.5,34.974152535182085
470.5,34.46687203202394
471.5,33.96694934857641
472.5,33.47427776378362
473.5,32.988752104518966
474.5,32.51026872313309
475.5,32.038725475327816
476.5,31.574021698350773
477.5,31.116058189506553
478.5,30.664737184979217
479.5,30.219962338962297
